ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
destrieux:g_and_s_frontomargin:r,destrieux,macro,G_and_S_frontomargin · R,g-and-s-frontomargin,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_paracentral:l,destrieux,macro,G_and_S_paracentral · L,g-and-s-paracentral,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_paracentral:r,destrieux,macro,G_and_S_paracentral · R,g-and-s-paracentral,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_subcentral:l,destrieux,macro,G_and_S_subcentral · L,g-and-s-subcentral,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_subcentral:r,destrieux,macro,G_and_S_subcentral · R,g-and-s-subcentral,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_transv_frontopol:l,destrieux,macro,G_and_S_transv_frontopol · L,g-and-s-transv-frontopol,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_transv_frontopol:r,destrieux,macro,G_and_S_transv_frontopol · R,g-and-s-transv-frontopol,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_inf-opercular:l,destrieux,macro,G_front_inf-Opercular · L,g-front-inf-opercular,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_inf-opercular:r,destrieux,macro,G_front_inf-Opercular · R,g-front-inf-opercular,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_inf-orbital:l,destrieux,macro,G_front_inf-Orbital · L,g-front-inf-orbital,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
